species,wing_length,secondary,mass
Berenicornis comatus,360.2,342.6,1470
Buceros bicornis,509.4,385.8,2790.8
Buceros hydrocorax,382.7,311.4,1409.6
Buceros rhinoceros,458.5,353.5,2371.6
Buceros vigil,468,450.5,2887.6
Bycanistes albotibialis,315,255.8,921
Bycanistes brevis,355,266.5,1232.8
Bycanistes bucinator,277.5,211.2,639.4
Bycanistes cylindricus,319.8,264,921
Bycanistes fistulator,242.6,185.6,508.1
Bycanistes subcylindricus,327.8,255.8,1195.4
Ceratogymna atrata,373.3,308.8,1194.8
Ceratogymna elata,381.9,297.8,1917
Horizocerus albocristatus,230.5,197.5,289.4
Horizocerus hartlaubi,146.1,121.3,98.5
Lophoceros alboterminatus,235.7,187.3,223.7
Lophoceros bradfieldi,242.2,184.3,196.5
Lophoceros camurus,153.5,136.1,103.8
Lophoceros fasciatus,255.9,206.2,258.8
Lophoceros hemprichii,279.1,221.1,297
Lophoceros nasutus,220.7,174.8,179.6
Lophoceros pallidirostris,231,183.4,233
Ocyceros birostris,212.3,160.5,375
Ocyceros gingalensis,197.7,162.8,238
Ocyceros griseus,206,174.8,292
Penelopides affinis,222.8,191.4,485.1
Penelopides manillae,224.8,190.5,460.9
Penelopides mindorensis,226.2,188.9,462
Penelopides panini,257.3,216.9,470.5
Penelopides samarensis,229.8,198.1,510
Rhabdotorrhinus corrugatus,343.2,297.4,1590
Rhabdotorrhinus exarhatus,226.8,190.6,370
Rhabdotorrhinus leucocephalus,316,242.5,1086
Rhabdotorrhinus waldeni,331,271.6,1086
Rhyticeros cassidix,427.8,347,2360
Rhyticeros everetti,338,263,697.2
Rhyticeros narcondami,286.6,205,697.2
Rhyticeros plicatus,382.7,293.2,1703.8
Rhyticeros subruficollis,396.2,269.8,2042
Rhyticeros undulatus,438.8,361.1,2214.6
Tockus damarensis,182.5,150.7,210
Tockus deckeni,177.6,146.6,167.7
Tockus erythrorhynchus,173.3,140.5,138.6
Tockus flavirostris,192,152.5,216.7
Tockus jacksoni,170.2,137.6,167.7
Tockus kempi,166,132.4,182
Tockus leucomelas,188.7,152.7,188.3
Tockus monteiri,196.5,164.9,289.8
Tockus ruahae,163.5,133.7,200
Tockus rufirostris,180.8,149,150
Bucorvus abyssinicus,556,441.9,4000
Bucorvus leadbeateri,534.5,423,3743.6
Phoeniculus bollei,129.2,101.3,54.6
Phoeniculus castaneiceps,101.8,81.4,24.4
Phoeniculus damarensis,148.1,112.9,81.8
