species,wing_length,secondary,mass
Zonerodius heliosylus,303,252.3,802
Balaeniceps rex,642.2,404,5941
Pelecanus conspicillatus,601.5,319.6,5505
Pelecanus crispus,687,390.2,9512.1
Pelecanus erythrorhynchos,561,308.8,5608.5
Pelecanus occidentalis,494.6,259.5,3427.8
Pelecanus onocrotalus,646.4,366.8,9322.3
Pelecanus philippensis,562.8,329.2,5011
Pelecanus rufescens,583,330.8,5419.6
Pelecanus thagus,615,313.8,3427.8
Scopus umbretta,293.2,191,472
Bostrychia bocagei,237,182,866
Bostrychia carunculata,363.8,251.4,1500
Bostrychia hagedash,338.8,245.3,1238
Bostrychia olivacea,347,255.9,866
Bostrychia rara,261,182,866
Cercibis oxycerca,399.8,258.8,1819
Eudocimus albus,280.2,179.3,889.7
Eudocimus ruber,260.4,159.9,660.1
Geronticus calvus,388.2,250.7,1202
Geronticus eremita,401.8,230,1202
Lophotibis cristata,318.8,226,583
Mesembrinibis cayennensis,296.1,229.5,756
Nipponia nippon,392.6,251.9,1900
Phimosus infuscatus,265.3,175.1,559
Platalea ajaja,349,235.9,1490
Platalea alba,384.2,246,1521
Platalea flavipes,370,229.2,1741.3
Platalea leucorodia,361.6,216,1868
Platalea minor,356.8,213.5,1228
Platalea regia,352.6,223.8,1723.5
Plegadis chihi,246.5,149,616.9
Plegadis falcinellus,274.8,165.3,626.6
Plegadis ridgwayi,277.8,178,579.4
Pseudibis davisoni,406.8,251,1588
Pseudibis gigantea,532.8,348.8,3515
Pseudibis papillosa,380.6,241.8,823
Theristicus branickii,395.5,261.6,1492
Theristicus caerulescens,408.2,259.2,1500
Theristicus caudatus,393,266.8,1726
Theristicus melanopis,382,225.2,1250
Threskiornis aethiopicus,364.2,233.4,1493.2
Threskiornis bernieri,341.8,222.8,1493.2
Threskiornis melanocephalus,349.9,241.7,1303
Threskiornis molucca,351.8,241.4,1794.9
Threskiornis spinicollis,364.4,220,1346.7
Phaethon aethereus,309.2,97.5,750
Phaethon lepturus,269.4,79.5,328
Phaethon rubricauda,330.5,102.2,671.9
Phoeniconaias minor,318.4,167,1500
Phoenicoparrus andinus,425,229.8,4900
Phoenicoparrus jamesi,411.7,257.8,2000
Phoenicopterus chilensis,401.8,226.8,2277
Phoenicopterus roseus,399,230.3,3031.6
Phoenicopterus ruber,408.8,210,3031.6
Capito auratus,84.3,68.9,57.4
Capito aurovirens,82.8,75.9,56.2
Capito brunneipectus,80.1,66.2,57.9
Capito dayi,85.8,72.8,67.2
Capito hypoleucus,87.6,73.2,70.9
Capito maculicoronatus,81.6,67.2,52.8
Capito niger,80.2,64.2,57.4
Capito quinticolor,78.3,62,60
Capito squamatus,81.9,66,59.3
Capito wallacei,90.7,74.4,69.5
Eubucco bourcierii,72,60.9,37
Eubucco richardsoni,67.8,56.9,33.9
Eubucco tucinkae,76.6,66.2,41.7
Eubucco versicolor,71.5,60.3,32.8
Indicator archipelagicus,88.8,70,32.4
Indicator conirostris,88.8,70.3,28.2
Indicator exilis,68.8,55,17.9
Indicator indicator,108.5,81,50.4
Indicator maculatus,97.6,78.8,46.8
Indicator meliphilus,72.6,56.6,14
Indicator minor,90,70.8,28.2
Indicator pumilio,63,51,13.1
Indicator variegatus,107.8,84.6,48.8
Indicator willcocksi,70.3,56.1,15.4
Indicator xanthonotus,89.4,63.3,30.4
Melichneutes robustus,91.8,67.2,54.2
Melignomon eisentrauti,78.8,62.6,24.2
Melignomon zenkeri,75.8,60,23.6
Prodotiscus insignis,64.7,51.3,10.4
Prodotiscus regulus,77,54.7,14.1
Prodotiscus zambesiae,73,54.4,10.2
Buccanodon duchaillui,78.5,66.4,41.8
Gymnobucco bonapartei,84,73.4,63
Gymnobucco calvus,90.1,72.9,54.5
Gymnobucco peli,81.2,65.6,52
Gymnobucco sladeni,87,72.5,45
Lybius bidentatus,99.2,83.6,79.3
Lybius chaplini,95,75.8,69.5
Lybius dubius,110.4,90.3,91
Lybius guifsobalito,86.3,70,42.2
Lybius leucocephalus,92.8,76.3,62.8
Lybius melanopterus,92.1,78.5,52.4
Lybius minor,87.4,73.8,46.7
Lybius rolleti,112.8,92,100.4
Lybius rubrifacies,86.5,70,60.1
Lybius torquatus,90,73.7,51.7
Lybius undatus,80.2,68.2,38.5
Lybius vieilloti,80.4,65.9,36
Pogoniulus atroflavus,57.9,45.9,18.2
Pogoniulus bilineatus,56.1,45.3,13.1
Pogoniulus chrysoconus,57.6,47.4,10.8
Pogoniulus coryphaea,52.2,42.4,10.7
Pogoniulus leucomystax,54.9,46.4,11.8
Pogoniulus pusillus,57.7,50,9.6
Pogoniulus scolopaceus,54.1,46.1,14.1
Pogoniulus simplex,50.8,42.7,8.8
Pogoniulus subsulphureus,50.3,43.4,10.5
Stactolaema anchietae,89.2,67.5,47.3
Stactolaema leucotis,91.6,72.8,54.9
Stactolaema olivacea,87.8,71.7,49.4
Stactolaema whytii,91.4,70.2,55.6
Trachyphonus darnaudii,79.1,70.4,35.8
Trachyphonus erythrocephalus,96.6,85.5,63.5
Trachyphonus margaritatus,94.6,83,64
Trachyphonus purpuratus,105.9,94.2,76.1
Trachyphonus vaillantii,100.4,87.2,69.4
Tricholaema diademata,78,66.2,30.6
Tricholaema frontata,77.4,63.2,26.8
Tricholaema hirsuta,88.8,72.7,55.2
Tricholaema lacrymosa,68.8,59.1,22.9
Tricholaema leucomelas,79,66.2,32.2
Tricholaema melanocephala,66.4,57.1,20.5
Caloramphus fuliginosus,78.2,62.8,42.6
Caloramphus hayii,81,65.3,42.6
Psilopogon annamensis,94.2,74.2,87.7
Psilopogon armillaris,95,74.5,69.4
Psilopogon asiaticus,103.6,85.5,90.5
Psilopogon auricularis,96,78.9,63.5
Psilopogon australis,74.2,58.1,33.3
Psilopogon chersonesus,97.2,81.8,90.5
Psilopogon chrysopogon,124.7,103,151
Psilopogon corvinus,121.8,99.5,130
Psilopogon duvaucelii,79.5,63.1,33.3
Psilopogon eximius,77,62.5,33.3
Psilopogon faber,103.2,82.5,87.7
Psilopogon faiostrictus,109.4,88.8,93
Psilopogon flavifrons,88.6,71,58.5
Psilopogon franklinii,98.8,82.2,63.5
Psilopogon haemacephalus,80.6,59.3,44.5
Psilopogon henricii,91.8,73.3,74.1
Psilopogon incognitus,94.5,77.5,93
Psilopogon javensis,109.4,88.8,115
Psilopogon lagrandieri,132.4,106.5,93
Psilopogon lineatus,125.6,99.5,149
Psilopogon malabaricus,79.2,56.2,37.6
Psilopogon monticola,102.8,85.8,93.4
Psilopogon mystacophanos,95.2,79,77.4
Psilopogon nuchalis,100,80.5,87.7
Psilopogon oorti,91.8,74.2,87.7
Psilopogon pulcherrimus,91.5,76.2,65.4
Psilopogon pyrolophus,123.4,104.8,129
Psilopogon rafflesii,116.6,95.4,118
Psilopogon rubricapillus,73.8,54.8,37.6
Psilopogon virens,138.4,109.2,202
Psilopogon viridis,104.2,83.5,80.5
Psilopogon zeylanicus,108.8,90,119
Blythipicus pyrrhotis,147.5,129.4,132
Blythipicus rubiginosus,119.4,102.9,81.9
Campephilus gayaquilensis,178.2,139.1,241.2
Campephilus guatemalensis,180.8,137.5,242
Campephilus haematogaster,181.4,152.8,237
Campephilus imperialis,303,190.8,700
Campephilus leucopogon,181.2,132.6,249
Campephilus magellanicus,218.4,164.8,324
Campephilus melanoleucos,184,144.8,256
Campephilus pollens,174.6,145.9,187.9
Campephilus principalis,255.8,170.9,516
Campephilus robustus,184.5,147.1,200
Campephilus rubricollis,179.1,146.2,210.7
Campethera abingoni,110.4,90.1,67.5
Campethera bennettii,116.8,91.8,70.1
Campethera cailliautii,90,75.2,41.1
Campethera caroli,101.4,84,44.2
Campethera maculosa,100.4,82.4,54
Campethera mombassica,107.8,89.3,59.6
Campethera nivosa,82.9,76.4,37.8
Campethera notata,104.8,87,62
Campethera nubica,109.2,89.8,59.7
Campethera punctuligera,113.4,92.2,71.8
Campethera scriptoricauda,112.2,90.2,59.7
Campethera tullbergi,107.7,88.3,50.5
Celeus castaneus,125.6,94,85.6
Celeus elegans,161.3,132.5,135
Celeus flavescens,150.6,127.9,139
Celeus flavus,140.2,114.5,147.3
Celeus galeatus,162.5,131.6,124
Celeus grammicus,122.8,95.8,64.5
Celeus loricatus,118.8,91.4,76.6
Celeus lugubris,142.6,116.8,137
Celeus obrieni,139,122.2,114
Celeus ochraceus,141.3,117,139
Celeus spectabilis,146.1,122.8,114
Celeus torquatus,152.4,118.9,134
Celeus undatus,122.8,95.8,64.5
Chloropicus abyssinicus,92.4,69.5,24.5
Chloropicus elachus,78.4,62.8,18.4
Chloropicus elliotii,91.7,76.6,37.2
Chloropicus fuscescens,92,71.5,26
Chloropicus gabonensis,79.2,61.8,25.9
Chloropicus goertae,108,84.5,44.5
Chloropicus griseocephalus,105.3,82.8,40.9
Chloropicus lugubris,85.6,65.7,25.9
Chloropicus namaquus,125.8,91.6,81.5
Chloropicus obsoletus,77.6,59.2,21.4
Chloropicus poecilolaemus,84.4,70.8,28.1
Chloropicus pyrrhogaster,112.8,90.1,68.5
Chloropicus spodocephalus,109.6,83.4,47.3
Chloropicus stierlingi,100,69.3,28
Chloropicus xantholophus,110.6,85.8,81.5
Chrysocolaptes erythrocephalus,146.9,115.8,142
Chrysocolaptes festivus,152.6,112.9,213
Chrysocolaptes guttacristatus,165.6,128.7,166
Chrysocolaptes haematribon,142.8,111.8,130
Chrysocolaptes lucidus,153,122.6,142
Chrysocolaptes stricklandi,144.8,116,138
Chrysocolaptes strictus,139.5,108.8,142
Chrysocolaptes xanthocephalus,146,115,142
Chrysophlegma flavinucha,155,121.8,176.8
Chrysophlegma mentale,133.9,109.2,99.7
Chrysophlegma miniaceum,121.2,100,97.3
Colaptes atricollis,118.5,96.5,76.1
Colaptes auratus,156.9,119.2,131.5
Colaptes auricularis,119.5,87.7,65.4
Colaptes campestris,161.5,127.8,158
Colaptes chrysoides,138.4,100,111
Colaptes fernandinae,143.8,114.6,135
Colaptes melanochloros,138.3,116.4,127.3
Colaptes pitius,151.5,113.8,159
Colaptes punctigula,108.1,85.5,62
Colaptes rivolii,129.5,102.1,102
Colaptes rubiginosus,125.1,97,55.8
Colaptes rupicola,167.2,131.2,174
Dendrocopos analis,90.2,71.5,44.9
Dendrocopos assimilis,115.2,82.7,51.8
Dendrocopos atratus,113.3,85.7,46.7
Dendrocopos darjellensis,126,94.4,70.7
Dendrocopos himalayensis,127.8,93.6,67.7
Dendrocopos hyperythrus,115.8,81.5,46.5
Dendrocopos leucopterus,126.4,92.9,67
Dendrocopos leucotos,145.9,103.5,116.8
Dendrocopos macei,104.9,77.2,44.9
Dendrocopos major,136.2,98.5,74.9
Dendrocopos noguchii,153,119.2,200
Dendrocopos syriacus,123.2,90.7,76.7
Dendrocoptes auriceps,114,77.2,39.9
Dendrocoptes dorae,109.4,80.5,19.5
Dendrocoptes medius,123.6,89.3,59
Dinopium benghalense,140.9,112.3,100
Dinopium everetti,137.1,108,93.8
Dinopium javanense,134.1,105.3,72.8
Dinopium psarodes,134,103.8,97
Dinopium rafflesii,134.2,103.3,102
Dinopium shorii,150.2,117.2,101
Dryobates affinis,91.9,72.6,34.8
Dryobates albolarvatus,127,95.3,61.1
Dryobates arizonae,113,80.3,40.9
Dryobates borealis,117,78.8,48
Dryobates callonotus,74,63.3,26.5
Dryobates cassini,94.4,71.5,34.6
Dryobates cathpharius,103.7,77.8,30.7
Dryobates chocoensis,90.2,69.4,30
Dryobates dignus,96.6,73.3,37.6
Dryobates frontalis,93.2,76.2,36.7
Dryobates fumigatus,95.1,76.4,36.2
Dryobates kirkii,86.1,72.8,28.8
Dryobates lignarius,88.4,71.6,34
Dryobates maculifrons,94.2,72.6,38.7
Dryobates minor,90.2,65.7,19.8
Dryobates mixtus,84.6,69.4,28.7
Dryobates nigriceps,97.8,79.5,44
Dryobates nuttallii,102.2,76.7,37.4
Dryobates passerinus,76.6,65.1,32.1
Dryobates pubescens,91.3,65.9,25.6
Dryobates sanguineus,74.8,64.5,26.5
Dryobates scalaris,96.8,73,31.6
Dryobates spilogaster,96,77.3,40.3
Dryobates stricklandi,114,81.5,40.9
Dryobates villosus,126.7,95.5,62.7
Dryocopus hodgei,184,145.9,156
Dryocopus javensis,219.4,173.5,271.4
Dryocopus lineatus,184.7,144.9,183.2
Dryocopus martius,237.8,175.2,321
Dryocopus pileatus,228.4,166.6,286.6
Dryocopus schulzii,172.4,130.9,200
Gecinulus grantia,126.2,103.9,76
Gecinulus viridis,127.6,103.3,69.2
Geocolaptes olivaceus,128.2,99.8,120
Hemicircus canente,94.6,81.2,43
Hemicircus concretus,83.5,69.7,29.4
Jynx ruficollis,90.6,73,46.4
Jynx torquilla,87.4,63.6,35
Leiopicus mahrattensis,99.4,74.6,34.3
Meiglyptes jugularis,100.6,82.9,53.4
Meiglyptes tristis,93,75.4,31.7
Meiglyptes tukki,96.8,81.6,53.1
Melanerpes aurifrons,129.1,97.9,80.8
Melanerpes cactorum,106,77.9,34.9
Melanerpes candidus,157.2,108.8,108
Melanerpes carolinus,127.2,90.4,69.5
Melanerpes chrysauchen,110.2,81.4,52.5
Melanerpes chrysogenys,117.8,91.6,67.7
Melanerpes cruentatus,113.8,82.2,58.1
Melanerpes erythrocephalus,139.7,98.9,71.6
Melanerpes flavifrons,117,85.8,57.8
Melanerpes formicivorus,139.8,103.6,79.6
Melanerpes herminieri,136.4,102.5,100
Melanerpes hoffmannii,118.1,92.8,72.2
Melanerpes hypopolius,125.2,90.8,52.4
Melanerpes lewis,166.8,114,105.8
Melanerpes portoricensis,119.1,89.6,59.9
Melanerpes pucherani,110.6,80.5,62.4
Melanerpes pulcher,107.6,74.4,52.5
Melanerpes pygmaeus,97.4,76,38.8
Melanerpes radiolatus,133.2,105.6,108
Melanerpes rubricapillus,104.9,81.7,52.3
Melanerpes striatus,117.2,90.5,73.4
Melanerpes superciliaris,142.2,111.9,77.3
Melanerpes uropygialis,131.4,102.7,64.7
Micropternus brachyurus,118.2,96.2,85.9
Mulleripicus fuliginosus,152.3,120,172
Mulleripicus fulvus,179.5,147.8,312.3
Mulleripicus funebris,161,129.8,164
Mulleripicus pulverulentus,238.6,180.1,450.2
Nesoctites micromegas,74,63.3,32.2
Picoides arcticus,128.8,96.4,69.2
Picoides dorsalis,118.2,87.4,65.5
Picoides tridactylus,122.8,86.7,65.5
Piculus aurulentus,118.6,94.3,75
Piculus callopterus,107.5,80.4,51
Piculus chrysochloros,126.2,103.6,88
Piculus flavigula,114,88.3,55
Piculus leucolaemus,119.5,88.2,69
Piculus litae,85.2,60.4,69
Piculus simplex,111.7,82,55
Picumnus albosquamatus,53,46.4,11.9
Picumnus aurifrons,49.2,44.1,8.9
Picumnus castelnau,51.1,42.9,11.4
Picumnus cinnamomeus,55.6,47.4,11.3
Picumnus cirratus,53.6,47.5,10.2
Picumnus dorbignyanus,52.9,45.7,9.6
Picumnus exilis,48.6,41.6,9.3
Picumnus fuscus,50.7,43.7,11.3
Picumnus granadensis,56.1,46.2,12.2
Picumnus innominatus,53.4,47.1,10.2
Picumnus lafresnayi,50.8,41.9,9.5
Picumnus limae,50.8,46.5,11.3
Picumnus minutissimus,54.5,47.4,13.3
Picumnus nebulosus,57.2,52,11.6
Picumnus olivaceus,52.4,44.3,10.6
Picumnus pumilus,49.7,43.2,9.5
Picumnus pygmaeus,52.2,44.9,11
Picumnus rufiventris,59.7,50.5,21
Picumnus sclateri,52.2,44.2,11
Picumnus spilogaster,53.8,46.1,13.2
Picumnus squamulatus,50.6,42.1,10.2
Picumnus steindachneri,54.5,46,9.9
Picumnus subtilis,50.4,43.3,10.4
Picumnus temminckii,53.6,46.2,11.5
Picumnus varzeae,51.3,46,11.5
Picus awokera,140.2,102,143
Picus canus,143.1,109.5,137
Picus chlorolophus,129,97.8,65.4
Picus erythropygius,156.8,122.1,116.2
Picus puniceus,121.2,91.3,79.1
Picus rabieri,135.2,113.2,111.4
Picus sharpei,155.8,114.3,176
Picus squamatus,161,123.2,170
Picus vaillantii,154,111.2,176
Picus viridanus,137.8,108.8,111.4
Picus viridis,165.4,125,176
Picus vittatus,126.4,102.7,108.1
Picus xanthopygaeus,129.8,100.8,99.7
Reinwardtipicus validus,153.4,129.1,149
Sasia abnormis,52.4,47,9.2
Sasia ochracea,52.9,47.4,9.7
Sphyrapicus nuchalis,122.8,83.8,48.5
Sphyrapicus ruber,126.6,88.2,54.8
Sphyrapicus thyroideus,135.5,93,47.6
Sphyrapicus varius,124.8,82.6,50.3
Verreauxia africana,48,40.9,9.4
Xiphidiopicus percussus,122,100.2,60.9
Yungipicus canicapillus,83.3,60,25.8
Yungipicus kizuki,82,58.3,19.2
Yungipicus maculatus,81.6,60.6,24.5
Yungipicus moluccensis,72.6,55.6,16.2
Yungipicus nanus,76.4,55.9,16.2
Yungipicus ramsayi,82.2,59,24.5
Yungipicus temminckii,76.5,58.6,66.7
Andigena cucullata,178.6,160.4,311.8
Andigena hypoglauca,171,152,312.8
Andigena laminirostris,169.2,144.4,311
Andigena nigrirostris,167.3,142.4,350
Aulacorhynchus albivitta,123.9,107.8,195
Aulacorhynchus coeruleicinctis,141.9,125.1,208
Aulacorhynchus derbianus,133.8,117.2,209.7
Aulacorhynchus haematopygus,134.5,117.7,194.4
Aulacorhynchus huallagae,140.3,123.3,268.8
Aulacorhynchus prasinus,125.7,109.8,170.6
Aulacorhynchus sulcatus,125.4,107.9,167
Aulacorhynchus whitelianus,118.6,97.6,133
Pteroglossus aracari,143.1,120.8,250.2
Pteroglossus azara,123.5,102.9,144.5
Pteroglossus bailloni,129,110.4,146
Pteroglossus beauharnaisii,141.6,118.1,215.9
Pteroglossus bitorquatus,117.5,95.8,142
Pteroglossus castanotis,154.4,129,258.1
Pteroglossus frantzii,149.6,125.2,253
Pteroglossus inscriptus,119.7,99.6,125.8
Pteroglossus pluricinctus,148.5,125.4,261.7
Pteroglossus torquatus,146.9,125,219.1
Pteroglossus viridis,119,94.4,135
Ramphastos ambiguus,223.9,201,651.7
Ramphastos brevis,196.2,168.1,412
Ramphastos dicolorus,191.8,164.9,331
Ramphastos sulfuratus,200.4,170.3,409.7
Ramphastos toco,242.2,186.7,618
Ramphastos tucanus,237,201.2,659.6
Ramphastos vitellinus,195.7,171.3,360.4
Selenidera gouldii,127.2,104.1,180.9
Selenidera maculirostris,130.7,111.2,164
Selenidera nattereri,125.3,105.1,158.4
Selenidera piperivora,117.7,93.6,147
Selenidera reinwardtii,126.3,105.4,161.8
Selenidera spectabilis,135,114,219
Semnornis frantzii,88.8,76.8,57.3
Semnornis ramphastinus,107.2,92,97.7
Aechmophorus clarkii,195.4,111.7,1090.9
Aechmophorus occidentalis,184.5,109,1137
Podiceps auritus,137.8,78.3,453
Podiceps cristatus,183.6,105.4,731
Podiceps gallardoi,141.4,88.6,575
Podiceps grisegena,167.1,96.4,1023
Podiceps major,181.4,112,1646
Podiceps nigricollis,127.2,70.1,412.4
Podiceps occipitalis,126.4,81.2,320.7
Podiceps taczanowskii,120,77.4,390.2
Podilymbus podiceps,125.6,81.1,411.9
Poliocephalus poliocephalus,110,64.8,239.9
Poliocephalus rufopectus,111.2,75.6,249
Rollandia microptera,117.6,73.5,706
Rollandia rolland,134.6,88.7,324.3
Tachybaptus dominicus,97,75,132.6
Tachybaptus novaehollandiae,102,69.8,219
Tachybaptus pelzelnii,94.4,67.3,184
Tachybaptus ruficollis,100,66.6,169.4
Diomedea epomophora,636.6,257.7,8905.6
Diomedea exulans,633.8,275.6,6961.3
Phoebastria albatrus,549.2,186,4411
Phoebastria immutabilis,474.4,159.5,3145.9
Phoebastria irrorata,534.5,194,3376.4
Phoebastria nigripes,476,171.2,3188.4
Phoebetria fusca,510.2,161.8,2553.7
Phoebetria palpebrata,523.8,162.5,3150
Thalassarche bulleri,501.2,165,2781.5
Thalassarche cauta,568.5,256.1,3897.7
Thalassarche chlororhynchos,467.8,204.3,2128.8
Thalassarche chrysostoma,518,185.5,3499
Thalassarche eremita,542,282.5,3897.7
Thalassarche melanophris,506.9,181,3202.9
Thalassarche salvini,558,211.3,3897.7
Hydrobates castro,150.4,59.8,46.1
Hydrobates cheimomnestes,150.4,62,36.7
Hydrobates furcatus,155.6,60.8,59.7
Hydrobates homochroa,132.8,55,36.9
Hydrobates hornbyi,163.2,68,40.6
Hydrobates jabejabe,150.4,59.8,46.1
Hydrobates leucorhous,150.4,62,36.7
Hydrobates macrodactyla,163.3,76.5,36.7
Hydrobates markhami,170.8,65.8,53.1
Hydrobates matsudairae,185,76.5,62
Hydrobates melania,172.2,66,61.5
Hydrobates microsoma,119,48,20.5
Hydrobates monorhis,152.6,63.8,39.8
Hydrobates monteiroi,153,86,46.1
Hydrobates pelagicus,119,48.5,25.2
Hydrobates socorroensis,150.4,62,36.7
Hydrobates tethys,129.8,53.8,22.6
Hydrobates tristrami,177.4,76.8,89.1
Fregetta grallaria,168.6,70.6,50.6
Fregetta maoriana,141,59.7,34.5
Fregetta tropica,164.4,71.1,52
Garrodia nereis,125.2,55.1,38.2
Nesofregetta fuliginosa,197.6,86.8,70
Oceanites gracilis,133.4,54.4,16.7
Oceanites oceanicus,147.2,61.2,30.4
Oceanites pincoyae,133.4,54.4,26
Pelagodroma marina,158.2,73.1,47.2
Aphrodroma brevirostris,240.2,92.5,357
Ardenna bulleri,276.2,113,407
Ardenna carneipes,310.2,120.5,609
Ardenna creatopus,324,121,744
Ardenna gravis,317.8,120.2,849
Ardenna grisea,295.6,112,787
Ardenna pacifica,296.8,116,388
Ardenna tenuirostris,262.2,93.2,559
Bulweria bulwerii,203.2,76.8,99
Bulweria fallax,240.8,91.2,173
Calonectris diomedea,345.6,142.1,535
Calonectris edwardsii,309,116.2,535
Calonectris leucomelas,319.2,124.2,580
Daption capense,249.8,99.8,429.6
Fulmarus glacialis,321.1,155,611.9
Fulmarus glacialoides,315,156.2,793.4
Halobaena caerulea,206.2,78.2,202
Macronectes giganteus,493.6,267,3591.7
Macronectes halli,498,278.8,4206.3
Pachyptila belcheri,175.8,74,145
Pachyptila crassirostris,182,85.6,138.3
Pachyptila desolata,182.4,77.8,147
Pachyptila salvini,192.8,78.2,159
Pachyptila turtur,173.8,78,137
Pachyptila vittata,195.2,87.8,196
Pagodroma nivea,247.6,89.8,268
Pelecanoides garnotii,134.2,66.8,219.7
Pelecanoides georgicus,110.8,54.1,121
Pelecanoides magellani,125.6,63.8,134
Pelecanoides urinatrix,121.7,62.2,152.1
Procellaria aequinoctialis,382.6,153.2,1213
Procellaria cinerea,325.8,128,1131
Procellaria conspicillata,355,131.5,1213
Procellaria parkinsoni,363,143,702.2
Procellaria westlandica,368.9,139.4,1199
Pseudobulweria aterrima,253,119.5,232
Pseudobulweria becki,238,121.6,409
Pseudobulweria macgillivrayi,204,80,143
Pseudobulweria rostrata,282.5,93.5,409
Pterodroma alba,266.2,90.2,259
Pterodroma arminjoniana,283.8,92.8,394
Pterodroma atrata,295,167,394
Pterodroma axillaris,212,76.5,165
Pterodroma baraui,269,113,400
Pterodroma brevipes,212.2,74.5,147.1
Pterodroma cahow,245,88,246
Pterodroma cervicalis,297.5,100.8,445
Pterodroma cookii,213.2,76,177.9
Pterodroma defilippiana,226,84,169
Pterodroma externa,291.3,86,428
Pterodroma feae,254.4,102.3,311
Pterodroma gouldi,313.2,144.7,531.8
Pterodroma hasitata,277.2,155.5,278
Pterodroma heraldica,281,99,394
Pterodroma hypoleuca,228,84.5,176
Pterodroma incerta,318,109.2,520
Pterodroma inexpectata,249.8,83.5,316
Pterodroma lessonii,303.6,103.5,698
Pterodroma leucoptera,212,71,147.1
Pterodroma longirostris,212.2,82.5,143
Pterodroma macroptera,303.4,102,531.8
Pterodroma madeira,253,117.3,201.1
Pterodroma magentae,306,198,465
Pterodroma mollis,243.2,85,312
Pterodroma neglecta,288,103.5,501
Pterodroma nigripennis,221.6,80.2,173.7
Pterodroma occulta,286.5,112.5,445
Pterodroma phaeopygia,294.7,93.3,400.8
Pterodroma pycrofti,214,78.5,159
Pterodroma sandwichensis,271.3,138,400.8
Pterodroma solandri,299,103.8,468.6
Pterodroma ultima,260,85,360
Puffinus assimilis,179.8,79,226
Puffinus auricularis,220.2,102.2,350.8
Puffinus bailloni,185,84,214
Puffinus bannermani,208,89,192.8
Puffinus baroli,169.5,76.8,160
Puffinus boydi,179.8,79,226
Puffinus bryani,165,97.9,147
Puffinus elegans,184.1,87,226
Puffinus gavia,198.2,74,228.9
Puffinus heinrothi,178.5,134.8,192.8
Puffinus huttoni,209,85,364
Puffinus lherminieri,198,86.2,192.8
Puffinus mauretanicus,242.2,101.6,497
Puffinus myrtae,198,86.2,350.8
Puffinus nativitatis,235.5,88,356
Puffinus newelli,241,134,350.8
Puffinus opisthomelas,233,84.2,408
Puffinus persicus,196.2,84,192.8
Puffinus puffinus,232.5,89.2,453.3
Puffinus subalaris,186.2,80.2,168
Puffinus yelkouan,228.8,90.2,497
Thalassoica antarctica,296.2,128.2,708.4
Cacatua alba,281.5,192.5,570
Cacatua ducorpsii,248.5,173.2,394
Cacatua galerita,347.3,266,720.4
Cacatua goffiniana,210.9,149.1,275
Cacatua haematuropygia,214.5,142.5,288
Cacatua moluccensis,294.2,209.8,835
Cacatua ophthalmica,291,203,492
Cacatua pastinator,299.4,192.5,631.7
Cacatua sanguinea,256.2,160.5,523.7
Cacatua sulphurea,221.2,146.5,303.3
Cacatua tenuirostris,268,152.2,566.6
Callocephalon fimbriatum,252.6,159.2,256
Calyptorhynchus banksii,420.2,228.2,721.9
Calyptorhynchus baudinii,375,200,620
Calyptorhynchus funereus,426.2,243.5,674.7
Calyptorhynchus lathami,346.6,188.5,437
Calyptorhynchus latirostris,361.2,195.2,612
Eolophus roseicapilla,256.2,138.4,328
Lophochroa leadbeateri,261.4,167.3,396.8
Nymphicus hollandicus,167.3,81.8,94.6
Probosciger aterrimus,344.2,241.2,841
Alipiopsitta xanthops,193.2,142,159
Amazona aestiva,204.2,149.8,451
Amazona agilis,160,108,213
Amazona albifrons,169.4,117,206
Amazona amazonica,202.2,144.8,370
Amazona arausiaca,241.4,166.3,500
Amazona auropalliata,205.6,136.9,476.9
Amazona autumnalis,209.6,148.2,416
Amazona barbadensis,216.1,142.7,270
Amazona brasiliensis,212.3,150.2,430
Amazona collaria,178.2,117.2,187
Amazona dufresniana,203.5,141.6,623
Amazona farinosa,241.9,173.1,626
Amazona festiva,202.6,143,430
Amazona finschi,192.4,121.7,302
Amazona guildingii,262.5,180,646
Amazona imperialis,282,202.9,529.5
Amazona kawalli,233.3,201.6,626
Amazona leucocephala,198.8,131.7,235.3
Amazona mercenarius,214,144.8,340
Amazona ochrocephala,212.9,154.8,476.9
Amazona oratrix,222.6,144.3,476.9
Amazona pretrei,203.9,150.2,272.8
Amazona rhodocorytha,210,146.7,474.3
Amazona tucumana,196.8,120.9,260
Amazona ventralis,183.6,115.9,214
Amazona versicolor,256.6,174.5,676
Amazona vinacea,214.2,145,254
Amazona viridigenalis,199,124.6,316
Amazona vittata,182.2,121.3,279.3
Amazona xantholora,165.2,102.3,217
Anodorhynchus glaucus,362,197.1,940
Anodorhynchus hyacinthinus,444,299.5,1331
Anodorhynchus leari,378.1,268.5,940
Ara ambiguus,400,243.9,1300
Ara ararauna,381.3,264.6,1125
Ara chloropterus,402.1,235.9,1214
Ara glaucogularis,343.4,231.1,784
Ara macao,393.7,263.7,1015
Ara militaris,366.7,216.8,1134
Ara rubrogenys,299.6,186.9,468
Ara severus,239.4,153.3,343
Aratinga auricapillus,154.2,80,130
Aratinga jandaya,156.2,90.6,89.4
Aratinga maculata,153.4,91.2,119.6
Aratinga nenday,182.2,97.5,128
Aratinga solstitialis,156.2,91.6,119.6
Aratinga weddellii,141.8,80.1,108
